customer_id,booking_id,booking_type,property_type,property_img,agent_id,sale_id
C001,B001,Direct Purchase,Villa,https://image2url.com/r2/default/images/1775366894497-2d1627bd-ac8e-4a6c-a02f-998d681c0efe.png,A001,S001
C002,B002,Pre-Booking,Apartment,https://image2url.com/r2/default/images/1775365771521-eb23937a-a14e-441c-9dd3-73ae16559c6d.png,A002,S002
C003,B003,Loan Booking,Apartment,https://image2url.com/r2/default/images/1775365771521-eb23937a-a14e-441c-9dd3-73ae16559c6d.png,A003,S003
C004,B004,Resale,Apartment,https://image2url.com/r2/default/images/1775365771521-eb23937a-a14e-441c-9dd3-73ae16559c6d.png,A004,S004
C005,B005,Direct Purchase,Apartment,https://image2url.com/r2/default/images/1775365771521-eb23937a-a14e-441c-9dd3-73ae16559c6d.png,A005,S005
C006,B006,Pre-Booking,Apartment,https://image2url.com/r2/default/images/1775365771521-eb23937a-a14e-441c-9dd3-73ae16559c6d.png,A006,S006
C007,B007,Loan Booking,Apartment,https://image2url.com/r2/default/images/1775365771521-eb23937a-a14e-441c-9dd3-73ae16559c6d.png,A007,S007
C008,B008,Resale,Apartment,https://image2url.com/r2/default/images/1775365771521-eb23937a-a14e-441c-9dd3-73ae16559c6d.png,A008,S008
C009,B009,Direct Purchase,Villa,https://image2url.com/r2/default/images/1775366894497-2d1627bd-ac8e-4a6c-a02f-998d681c0efe.png,A009,S009
C010,B010,Pre-Booking,Villa,https://image2url.com/r2/default/images/1775366894497-2d1627bd-ac8e-4a6c-a02f-998d681c0efe.png,A010,S010
C011,B011,Loan Booking,Villa,https://image2url.com/r2/default/images/1775366894497-2d1627bd-ac8e-4a6c-a02f-998d681c0efe.png,A011,S011
C012,B012,Resale,Villa,https://image2url.com/r2/default/images/1775366894497-2d1627bd-ac8e-4a6c-a02f-998d681c0efe.png,A012,S012
C013,B013,Direct Purchase,Villa,https://image2url.com/r2/default/images/1775366894497-2d1627bd-ac8e-4a6c-a02f-998d681c0efe.png,A013,S013
C014,B014,Pre-Booking,Villa,https://image2url.com/r2/default/images/1775366894497-2d1627bd-ac8e-4a6c-a02f-998d681c0efe.png,A014,S014
C015,B015,Loan Booking,Commercial,https://image2url.com/r2/default/images/1775366053175-0f364451-8a33-4ba4-a427-6a66077a018d.png,A015,S015
C016,B016,Resale,Commercial,https://image2url.com/r2/default/images/1775366053175-0f364451-8a33-4ba4-a427-6a66077a018d.png,A016,S016
C017,B017,Direct Purchase,Commercial,https://image2url.com/r2/default/images/1775366053175-0f364451-8a33-4ba4-a427-6a66077a018d.png,A017,S017
C018,B018,Pre-Booking,Commercial,https://image2url.com/r2/default/images/1775366053175-0f364451-8a33-4ba4-a427-6a66077a018d.png,A018,S018
C019,B019,Loan Booking,Commercial,https://image2url.com/r2/default/images/1775366053175-0f364451-8a33-4ba4-a427-6a66077a018d.png,A019,S019
C020,B020,Resale,Commercial,https://image2url.com/r2/default/images/1775366053175-0f364451-8a33-4ba4-a427-6a66077a018d.png,A020,S020
C021,B021,Direct Purchase,Commercial,https://image2url.com/r2/default/images/1775366053175-0f364451-8a33-4ba4-a427-6a66077a018d.png,A021,S021
C022,B022,Pre-Booking,Plot,https://image2url.com/r2/default/images/1775366615084-bb21eb70-7bec-497f-9c8c-86ffed7e411e.png,A022,S022
C023,B023,Loan Booking,Plot,https://image2url.com/r2/default/images/1775366615084-bb21eb70-7bec-497f-9c8c-86ffed7e411e.png,A023,S023
C024,B024,Resale,Plot,https://image2url.com/r2/default/images/1775366615084-bb21eb70-7bec-497f-9c8c-86ffed7e411e.png,A024,S024
C025,B025,Direct Purchase,Plot,https://image2url.com/r2/default/images/1775366615084-bb21eb70-7bec-497f-9c8c-86ffed7e411e.png,A025,S025
C026,B026,Pre-Booking,Plot,https://image2url.com/r2/default/images/1775366615084-bb21eb70-7bec-497f-9c8c-86ffed7e411e.png,A026,S026
C027,B027,Loan Booking,Plot,https://image2url.com/r2/default/images/1775366615084-bb21eb70-7bec-497f-9c8c-86ffed7e411e.png,A027,S027
C028,B028,Resale,Farmhouse,https://image2url.com/r2/default/images/1775366212850-4b90d38e-a1b8-4f24-a55a-6d5f8d0b0f8b.png,A028,S028
C029,B029,Direct Purchase,Farmhouse,https://image2url.com/r2/default/images/1775366212850-4b90d38e-a1b8-4f24-a55a-6d5f8d0b0f8b.png,A029,S029
C030,B030,Pre-Booking,Farmhouse,https://image2url.com/r2/default/images/1775366212850-4b90d38e-a1b8-4f24-a55a-6d5f8d0b0f8b.png,A030,S030
C031,B031,Loan Booking,Farmhouse,https://image2url.com/r2/default/images/1775366212850-4b90d38e-a1b8-4f24-a55a-6d5f8d0b0f8b.png,A031,S031
C032,B032,Resale,Farmhouse,https://image2url.com/r2/default/images/1775366212850-4b90d38e-a1b8-4f24-a55a-6d5f8d0b0f8b.png,A032,S032
C033,B033,Direct Purchase,Farmhouse,https://image2url.com/r2/default/images/1775366212850-4b90d38e-a1b8-4f24-a55a-6d5f8d0b0f8b.png,A033,S033
C034,B034,Pre-Booking,Farmhouse,https://image2url.com/r2/default/images/1775366212850-4b90d38e-a1b8-4f24-a55a-6d5f8d0b0f8b.png,A034,S034
C035,B035,Loan Booking,Farmhouse,https://image2url.com/r2/default/images/1775366212850-4b90d38e-a1b8-4f24-a55a-6d5f8d0b0f8b.png,A035,S035
C036,B036,Resale,Farmhouse,https://image2url.com/r2/default/images/1775366212850-4b90d38e-a1b8-4f24-a55a-6d5f8d0b0f8b.png,A036,S036
C037,B037,Direct Purchase,Farmhouse,https://image2url.com/r2/default/images/1775366212850-4b90d38e-a1b8-4f24-a55a-6d5f8d0b0f8b.png,A037,S037
C038,B038,Pre-Booking,Apartment,https://image2url.com/r2/default/images/1775365771521-eb23937a-a14e-441c-9dd3-73ae16559c6d.png,A038,S038
C039,B039,Loan Booking,Villa,https://image2url.com/r2/default/images/1775366894497-2d1627bd-ac8e-4a6c-a02f-998d681c0efe.png,A039,S039
C040,B040,Resale,Commercial,https://image2url.com/r2/default/images/1775366053175-0f364451-8a33-4ba4-a427-6a66077a018d.png,A040,S040
C041,B041,Direct Purchase,Plot,https://image2url.com/r2/default/images/1775366615084-bb21eb70-7bec-497f-9c8c-86ffed7e411e.png,A041,S041
C042,B042,Pre-Booking,Farmhouse,https://image2url.com/r2/default/images/1775366212850-4b90d38e-a1b8-4f24-a55a-6d5f8d0b0f8b.png,A042,S042
C043,B043,Loan Booking,Apartment,https://image2url.com/r2/default/images/1775365771521-eb23937a-a14e-441c-9dd3-73ae16559c6d.png,A043,S043
C044,B044,Resale,Villa,https://image2url.com/r2/default/images/1775366894497-2d1627bd-ac8e-4a6c-a02f-998d681c0efe.png,A044,S044
C045,B045,Direct Purchase,Commercial,https://image2url.com/r2/default/images/1775366053175-0f364451-8a33-4ba4-a427-6a66077a018d.png,A045,S045
C046,B046,Pre-Booking,Plot,https://image2url.com/r2/default/images/1775366615084-bb21eb70-7bec-497f-9c8c-86ffed7e411e.png,A046,S046
C047,B047,Loan Booking,Farmhouse,https://image2url.com/r2/default/images/1775366212850-4b90d38e-a1b8-4f24-a55a-6d5f8d0b0f8b.png,A047,S047
C048,B048,Resale,Apartment,https://image2url.com/r2/default/images/1775365771521-eb23937a-a14e-441c-9dd3-73ae16559c6d.png,A048,S048
