property_id,property_name,property_type,city,state,listed_date,price,area_sqft,bedrooms,bathrooms,agent_id
P101,Green Valley Villa,Villa,Chennai,TN,3/5/2019,8549300,4938,4,2,A001
P102,Skyline Residency,Apartment,Perambalur,TN,3/6/2019,6162548,1870,3,2,A002
P103,Lakeview Apartments,Apartment,Bangalore,KA,3/7/2019,4839127,2378,3,2,A003
P104,Madhan Apartments,Apartment,Coimbatore,TN,3/8/2019,8991950,2476,2,2,A004
P105,Sunrise Heights,Apartment,Kochi,KL,3/9/2019,7939013,1644,2,2,A005
P106,Urban Heights,Apartment,Hosur,TN,3/10/2019,7285436,2114,2,2,A006
P107,Elite Towers,Apartment,Trichy,TN,3/11/2019,9096026,1677,3,2,A007
P108,Silver Oak Apartments,Apartment,Chennai,TN,3/12/2019,7939915,1708,2,2,A008
P109,Royal Palm Villas,Villa,Perambalur,TN,3/13/2019,5515499,2001,4,2,A009
P110,Golden Meadows Villa,Villa,Bangalore,KA,3/14/2019,7868280,2153,3,2,A010
P111,Lakeview Villas,Villa,Coimbatore,TN,3/15/2019,5843770,2986,3,2,A011
P112,Heritage Villas,Villa,Kochi,KL,3/16/2019,6166572,2111,3,2,A012
P113,Grand Villa Estate,Villa,Hosur,TN,3/17/2019,5340241,4430,4,2,A013
P114,Emerald Villas,Villa,Trichy,TN,3/18/2019,8194303,4031,4,2,A014
P115,City Center Office,Commercial,Chennai,TN,3/19/2019,4564190,4300,4,2,A015
P116,Tech Park Towers,Commercial,Perambalur,TN,3/20/2019,5651954,3417,3,2,A016
P117,Business Hub Plaza,Commercial,Bangalore,KA,3/21/2019,5217122,2713,3,2,A017
P118,Corporate Square,Commercial,Coimbatore,TN,3/22/2019,6555551,4592,4,2,A018
P119,Prime Office Space,Commercial,Kochi,KL,3/23/2019,8308176,1100,4,2,A019
P120,Metro Business Park,Commercial,Hosur,TN,3/24/2019,9280912,4278,4,2,A020
P121,Elite Commercial Complex,Commercial,Trichy,TN,3/25/2019,4603276,2049,4,2,A021
P122,Greenfield Plot,Plot,Chennai,TN,3/26/2019,5456382,2050,3,2,A022
P123,Sunrise Layout,Plot,Perambalur,TN,3/27/2019,4662342,2684,3,2,A023
P124,Golden Acres,Plot,Bangalore,KA,3/28/2019,4597866,2725,2,2,A024
P125,Silver Land Estate,Plot,Coimbatore,TN,3/29/2019,5253711,2982,3,2,A025
P126,Prime Residential Plot,Plot,Kochi,KL,3/30/2019,7858667,2241,3,2,A026
P127,Future City Plot,Plot,Hosur,TN,3/31/2019,5355310,2754,2,2,A027
P128,Green Acres Farmhouse,Farmhouse,Trichy,TN,4/1/2019,9423023,5597,4,3,A028
P129,Sunshine Farm Estate,Farmhouse,Chennai,TN,4/2/2019,7540122,2541,4,3,A029
P130,Golden Harvest Farm,Farmhouse,Perambalur,TN,4/3/2019,5594944,3611,4,3,A030
P131,Silver Leaf Farmhouse,Farmhouse,Bangalore,KA,4/4/2019,9332550,5184,4,3,A031
P132,Nature Bliss Farmhouse,Farmhouse,Coimbatore,TN,4/5/2019,7915092,3276,3,3,A032
P133,River View Farmhouse,Farmhouse,Kochi,KL,4/6/2019,6908446,5694,4,3,A033
P134,Green Valley Farmhouse,Farmhouse,Hosur,TN,4/7/2019,4647528,4823,3,3,A034
P135,Palm Grove Farmhouse,Farmhouse,Trichy,TN,4/8/2019,4568726,5727,3,3,A035
P136,Blue Sky Farm Estate,Farmhouse,Chennai,TN,4/9/2019,7439665,2856,3,3,A036
P137,Evergreen Farmhouse,Farmhouse,Perambalur,TN,4/10/2019,4909587,5306,3,3,A037
P138,Skyline Residency,Apartment,Bangalore,KA,4/11/2019,6802688,1768,3,2,A038
P139,Royal Palm Villas,Villa,Coimbatore,TN,4/12/2019,8085039,3893,3,2,A039
P140,Corporate Square,Commercial,Kochi,KL,4/13/2019,7776233,4530,3,2,A040
P141,Sunrise Layout,Plot,Hosur,TN,4/14/2019,8227881,1727,2,2,A041
P142,Sunshine Farm Estate,Farmhouse,Trichy,TN,4/15/2019,8963283,5096,3,3,A042
P143,Skyline Residency,Apartment,Chennai,TN,4/16/2019,4501109,2254,3,2,A043
P144,Royal Palm Villas,Villa,Perambalur,TN,4/17/2019,5854627,3048,4,2,A044
P145,Corporate Square,Commercial,Bangalore,KA,4/18/2019,5615416,4279,4,2,A045
P146,Sunrise Layout,Plot,Coimbatore,TN,4/19/2019,8900694,1395,3,2,A046
P147,Sunshine Farm Estate,Farmhouse,Kochi,KL,4/20/2019,7094475,3547,3,3,A047
P148,Skyline Residency,Apartment,Hosur,TN,4/21/2019,5131115,2063,2,2,A048
P149,Royal Palm Villas,Villa,Trichy,TN,4/22/2019,7301577,2780,4,2,A049
P150,Corporate Square,Commercial,Chennai,TN,4/23/2019,8610247,4195,4,2,A050
P151,Sunrise Layout,Plot,Perambalur,TN,4/24/2019,7792972,2319,2,2,A051
P152,Sunshine Farm Estate,Farmhouse,Bangalore,KA,4/25/2019,8372621,5867,4,3,A052
P153,Skyline Residency,Apartment,Coimbatore,TN,4/26/2019,4888591,1504,2,2,A053
P154,Royal Palm Villas,Villa,Kochi,KL,4/27/2019,8076566,3511,4,2,A054
P155,Corporate Square,Commercial,Hosur,TN,4/28/2019,9166601,2862,3,2,A055
P156,Sunrise Layout,Plot,Trichy,TN,4/29/2019,8983205,2564,3,2,A056
P157,Sunshine Farm Estate,Farmhouse,Chennai,TN,4/30/2019,6062339,4791,3,3,A057
P158,Skyline Residency,Apartment,Perambalur,TN,5/1/2019,8991358,1574,3,2,A058
P159,Royal Palm Villas,Villa,Bangalore,KA,5/2/2019,4544748,4140,4,2,A059
P160,Corporate Square,Commercial,Coimbatore,TN,5/3/2019,7822370,4227,4,2,A060
P161,Sunrise Layout,Plot,Kochi,KL,5/4/2019,7775164,1975,2,2,A061
P162,Sunshine Farm Estate,Farmhouse,Hosur,TN,5/5/2019,6319601,3449,4,3,A062
P163,Skyline Residency,Apartment,Trichy,TN,5/6/2019,4870408,1778,3,2,A063
P164,Royal Palm Villas,Villa,Chennai,TN,5/7/2019,6173678,2288,4,2,A064
P165,Corporate Square,Commercial,Perambalur,TN,5/8/2019,5910483,4447,3,2,A065
P166,Sunrise Layout,Plot,Bangalore,KA,5/9/2019,9392953,2844,3,2,A066
P167,Sunshine Farm Estate,Farmhouse,Coimbatore,TN,5/10/2019,6549063,4361,4,3,A067
P168,Skyline Residency,Apartment,Kochi,KL,5/11/2019,7248276,2121,2,2,A068
P169,Royal Palm Villas,Villa,Hosur,TN,5/12/2019,7428250,4730,4,2,A069
P170,Corporate Square,Commercial,Trichy,TN,5/13/2019,7555830,1261,3,2,A070
P171,Sunrise Layout,Plot,Chennai,TN,5/14/2019,6810842,2811,2,2,A071
